iter	RMSE
0	13.59383894
1	12.98219438
2	12.49554301
3	12.07401047
4	11.676145715	11.41469963
6	11.15050298
7	10.93648351
8	10.74662242
9	10.58504642
10	10.45688152
11	10.33676431
12	10.2289062
13	10.14264224
14	10.05499849
15	9.987305637
16	9.909992416
17	9.853663774
18	9.80220074
19	9.759873914
20	9.713218187
21	9.673243533
22	9.633430291
23	9.595759468
24	9.551508119
25	9.506674124
26	9.475847564
27	9.448909292
28	9.416093405
29	9.388270179
30	9.355834228
31	9.334733282
32	9.310971192
33	9.284414067
34	9.255571
35	9.235772024
36	9.220436083
37	9.191438455
38	9.176354263
39	9.155225558
40	9.140910396
41	9.123109732
42	9.098027045
43	9.07530304
44	9.056381979
45	9.037872251
46	9.022293664
47	9.006434558
48	8.981418781
49	8.971525055
50	8.960926305
51	8.947109536
52	8.934014566
53	8.922240575
54	8.906505812
55	8.898436639
56	8.885759491
57	8.868788093
58	8.851207323
59	8.840698897
60	8.829568773
61	8.818354861
62	8.804833356
63	8.791328904
64	8.782148999
65	8.766943125
66	8.761601959
67	8.741013769
68	8.726225891
69	8.666331765
70	8.654936483
71	71	8.678950872	72	8.660460573	73	8.645898974	74	8.635999175	75	8.627901072
76	8.621588398
77	8.607783932
78	8.599835975
79	8.589211172
80	8.580266383
81	8.568974625
82	8.559507574
83	8.546455022
84	8.537108845
85	8.528153449
86	8.519180451
87	8.506444837
88	8.499488912
89	8.49271844
90	8.481899031
91	8.471372279
92	8.460311982
93	8.451478688
94	8.439591682
95	8.429960014
96	8.421781521
97	8.412721795
98	8.4009399	8.99	8.39511100	100	8.384428101	101	8.371601102	102	8.361321103	8.313120855
104	8.297477643
105105	8.3352114106	8.27616492
107	8.26800127
108	8.26133874
109	8.255740424
110	8.246250052
111	8.237566358
112	8.226908829
113	8.216041002
114	8.201655706
115	8.196033502
116	8.193443134
117	8.184408691
118	8.178813862
119	8.171246357
120	8.161859398
121	8.152352222
122	8.140422444
123	8.130852415
124	8.121997062
125	8.113909637
126	8.103223455
127	8.092892326
128	8.084654659
129	8.077894865
130	8.069450011
131	8.059228723
132	8.047775252
133	8.037981216
134	8.032379276
135	8.024650675
136	8.016697301
137	8.008591581
138	8.000994709
139	7.99471499
140	7.984652532
141	7.978074791
142	7.96772669
143	7.96327986
144	7.957164119
145	7.949733552
146	7.941062368
147	7.934786484
148	7.925030989
149	7.918450144
150	7.912306529
151	7.907518922
152	7.899654405
153	7.890896158
154	7.88435697
155	7.875490988
156	7.867848155
157	7.859015262
158	7.853279085
159	7.84994661
160	7.842139079
161	7.833413836
162	7.828147519
163	7.822827409
164	7.817853171
165	7.811365445
166	7.807161274
167	7.802774078
168	7.796082734
169	7.78632437
170	7.778602009
171	7.770022673
172	7.762227517
173	7.756794888
174	7.750689098
175	7.746144668
176	7.741694134
177	7.733702917
178	7.728397214
179	7.724862978
180	7.719401254
181	7.713820263
182	7.707597464
183	7.707530216
184	7.702894203
185	7.696607224
186	7.6928558
187	7.686148802
188	7.681722773
189	7.67653258
190	7.668827558
191	7.666017298
192	7.663407817
193	7.658044977
194	7.652874599
195	7.646723907
196	7.643352942
197	7.636571029
198	7.633563803
199	7.62733774
200	7.622563375
201	7.616762196
202	7.614336307
203	7.609185185
204	7.603218269
205	7.59698923
206	7.596929707
207	7.590072207
208	7.584769496
209	7.580851672
210	7.573869112
211	7.568737602
212	7.566651228
213	7.560719868
214	7.555405166
215	7.552820455
216	7.547722488
217	7.54198531
218	7.534501307
219	7.527202969
220	7.521159863
221	7.516187356
222	7.511000343
223	7.506834967
224	7.503529607
225	7.497624715
226	7.491147911
227	7.484309728
228	7.479789488
229	7.473445565
230	7.46867475
231	7.462818859
232	7.456575013
233	7.451199911
234	7.443419166
235	7.437829246
236	7.434286374
237	7.430077231
238	7.427117671
239	7.422662081
240	7.415687794
241	7.411644641
242	7.411603227
243	7.406839858
244	7.402771807
245	7.396007912
246	7.391519569
247	7.38640821
248	7.381263615
249	7.376869418
250	7.371403108
251	7.366749299
252	7.363002074
253	7.360083361
254	7.359604251
255	7.356313462
256	7.352419228
257	7.349086452
258	7.343831912
259	7.339854104
260	7.334745846
261	7.331686864
262	7.327328281
263	7.322239983
264	7.31913297
265	7.314425971
266	7.309260966
267	7.305607825
268	7.300172967
269	7.29365441
270	7.290023124
271	7.285921431
272	7.281863187
273	7.278098494
274	7.273649921
275	7.26995757
276	7.266634794
277	7.263151998
278	7.258502094
279	7.253258513
280	7.248720922
281	7.245058614
282	7.241790405
283	7.23874558
284	7.234676755
285	7.232021122
286	7.228119849
287	7.225961603
288	7.222732227
289	7.218977942
290	7.216311333
291	7.210631584
292	7.206529166
293	7.205529298
294	7.200699509
295	7.197076687
296	7.191722509
297	7.185340068
298	7.179830814
299	7.175135921
300	7.171162842
301	7.168725107
302	7.165468881
303	7.159761637
304	7.156413704
305	7.152903184
306	7.149783597
307	7.147509432
308	7.145163335
309	7.141439171
310	7.138113937
311	7.132910877
312	7.128033627
313	7.125222445
314	7.122635398
315	7.119080602
316	7.119050071
317	7.115690266
318	7.110055825
319	7.108237239
320	7.106158222
321	7.106128104
322	7.104524011
323	7.100381162
324	7.096774543
325	7.093172665
326	7.090691257
327	7.08832896
328	7.086435389
329	7.081816257
330	7.076910429
331	7.074713428
332	7.070367072
333	7.066833395
334	7.06154558
335	7.058180553
336	7.05207211
337	7.049498579
338	7.047604905
339	7.042419838
340	7.039744878
341	7.034746876
342	7.031054455
343	7.026393125
344	7.023324886
345	7.019580491
346	7.015126749
347	7.011809478
348	7.008016937
349	7.00502589
350	7.001767051
351	6.999467526
352	6.994521383
353	6.991982702
354	6.989325236
355	6.986378583
356	6.985818121
357	6.9823253
358	6.978678364
359	6.973657851
360	6.970303703
361	6.967734018
362	6.96248071
363	6.961269489
364	6.958998083
365	6.956591282
366	6.953450015
367	6.949986786
368	6.94724126
369	6.94199607
370	6.939470761
371	6.935419658
372	6.930687441
373	6.927172498
374	6.923775689
375	6.922767393
376	6.922721945
377	6.92269489
378	6.920874818
379	6.916475949
380	6.913652547
381	6.91293649
382	6.91002756
383	6.910001587
384	6.90997349
385	6.905265301
386	6.903255494
387	6.897992952
388	6.894049544
389	6.890291612
390	6.887299467
391	6.885591677
392	6.88317605
393	6.880718987
394	6.876003385
395	6.874182788
396	6.874157188
397	6.874134413
398	6.871215315
399	6.86792702
6913
.010852077
