iter	Passed	Remaining
0	207	82848
1	259	51666
2	300	39726
3	347	34369
4	443	35038
5	518	34021
6	560	31484
7	600	29448
8	636	27658
9	667	26015
10	723	25582
11	770	24928
12	814	24240
13	855	23599
14	908	23312
15	966	23189
16	1030	23224
17	1093	23216
18	1136	22790
19	1203	22864
20	1239	22364
21	1269	21820
22	1304	21389
23	1342	21038
24	1390	20851
25	1429	20564
26	1505	20802
27	1580	21000
28	1639	20975
29	1696	20922
30	1753	20871
31	1938	22291
32	2144	23845
33	2253	24263
34	2322	24218
35	2381	24082
36	2435	23896
37	2473	23562
38	2507	23213
39	2556	23004
40	2593	22708
41	2636	22470
42	2679	22246
43	2716	21982
44	2750	21697
45	2790	21473
46	2842	21347
47	2870	21051
48	2906	20818
49	2931	20518
50	2957	20239
51	2975	19909
52	2996	19617
53	3014	19311
54	3034	19035
55	3051	18745
56	3072	18488
57	3093	18241
58	3114	17999
59	3132	17751
60	3156	17543
61	3181	17341662	3206	17151663	3236	16991664	3262	16812665	3288	16641666	3312	16463667	3340	16309668	3361	1612769	3416	16105
70	3442	15952
71	3450	15717
72	3481	15595
73	3511	15469
74	3542	15351
75	3568	15213
76	3593	15075
77	3619	14940
78	3644	14808
79	3668	14673
80	3697	14563
81	3724	14442
82	3750	14323
83	3778	14214
84	3804	14099
85	3828	13978
86	3852	13860
87	3878	13751
88	3908	13656
89	3942	13580
90	3969	13478
91	3998	13385
92	4070	13436
93	4143	13487
94	4174	13403
95	4220	13364
96	4273	13348
97	4300	13253
98	4361	13260
99	4402	13207
100	4440	13146
101	4473	13070
102	4522	13040
103	4565	12994
104	4607	12945
105	4662	12930
106	4748	13004
107	4789	12949
108	4827	12889
109	4872	12845
110	4912	12790
111	4949	12727
112	4978	12644
113	5004	12555
114	5032	12472
115	5059	12387
116	5085	12300
117	5112	12218
118	5139	12136
119	5168	12060
120	5198	11985
121	5227	11912
122	5255	11836
123	5284	11761
124	5311	11685
125	5340	11612
126	5368	11540
127	5392	11458
128	5420	11387
129	5450	11319
130	5478	11249
131	5509	11185
132	5540	11123
133	5584	11085
134	5612	11017
135	5640	10949
136	5677	10898
137	5706	10834
138	5735	10769
139	5763	10704
140	5791	10637
141	5822	10579
142	5856	10524
143	5883	10459
144	5915	10403
145	5951	10354
146	5980	10292
147	6011	10235
148	6041	10176
149	6070	10117
150	6103	10064
151	6132	10005
152	6157	9940
153	6185	9879
154	6214	9823
155	6242	9763
156	6269	9704
157	6304	9655
158	6334	9601
159	6362	9544
160	6393	9490
161	6424	9438
162	6450	9378
163	6474	9316
164	6500	9258
165	6528	9202
166	6559	9151
167	6587	9096
168	6615	9042
169	6646	8991
170	6671	8934
171	6700	8881
172	6728	8829
173	6755	8773
174	6789	8729
175	6822	8682
176	6855	8637
177	6885	8587
178	6914	8536
179	6945	8489
180	6974	8438
181	7005	8390
182	7065	8378
183	7086	8319
184	7112	8266
185	7139	8213
186	7163	8159
187	7186	8104
188	7211	8050
189	7235	7996
190	7259	7944
191	7279	7885
192	7298	7827
193	7321	7774
194	7342	7719
195	7365	7666
196	7387	7612
197	7410	7560
198	7432	7507
199	7454	7454
200	7477	7402
201	7498	7350
202	7518	7295
203	7541	7245
204	7564	7195
205	7588	7146
206	7606	7092
207	7630	7043
208	7656	6996
209	7675	6944
210	7697	6895
211	7719	6845
212	7740	6795
213	7763	6747
214	7784	6698
215	7805	6648
216	7832	6605
217	7856	6559
218	7881	6513
219	7905	6467
220	7929	6422
221	7960	6383
222	7993	6344
223	8014	6296
224	8036	6250
225	8056	6202
226	8080	6158
227	8100	6111
228	8124	6066
229	8146	6021
230	8170	5977
231	8188	5929
232	8217	5890
233	8242	5847
234	8262	5801
235	8282	5755
236	8302	5709
237	8319	5663
238	8336	5616
239	8355	5570
240	8379	5528
241	8397	5482
242	8414	5436
243	8433	5391
244	8452	5347
245	8470	5302
246	8488	5258
247	8510	5216
248	8531	5173
249	8550	5130
250	8567	5086
251	8585	5042
252	8602	4998
253	8620	4955
254	8635	4910
255	8655	4868
256	8674	4826
257	8692	4784
258	8711	4742
259	8731	4701
260	8750	4660
261	8770	4619
262	8788	4578
263	8807	4537
264	8825	4496
265	8847	4457
266	8865	4415
267	8883	4375
268	8903	4335
269	8921	4295
270	8939	4255
271	8958	4215
272	8977	4176
273	9002	4139
274	9025	4102
275	9052	4066
276	9080	4032
277	9099	3993
278	9140	3963
279	9183	3935
280	9206	3898
281	9231	3862
282	9283	3838
283	9334	3812
284	9375	3782
285	9405	3749
286	9437	3715
287	9465	3680
288	9495	3647
289	9522	3611
290	9558	3580
291	9586	3545
292	9613	3510
293	9681	3490
294	9712	3457
295	9732	3419
296	9753	3382
297	9772	3344
298	9790	3307
299	9815	3271
300	9835	3234
301	9852	3197
302	9871	3160
303	9889	3122
304	9908	3086
305	9926	3049
306	9944	3012
307	9962	2975
308	9977	2938
309	9993	2901
310	10016	2866
311	10035	2830
312	10053	2794
313	10073	2758
314	10088	2722
315	10104	2685
316	10117	2649
317	10135	2613
318	10153	2578
319	10169	2542
320	10185	2506
321	10201	2471
322	10223	2437
323	10246	2403
324	10268	2369
325	10292	2336
326	10313	2302
327	10332	2268
328	10349	2233
329	10365	2198
330	10379	2163
331	10395	2129
332	10412	2094
333	10435	2062
334	10458	2029
335	10479	1996
336	10498	1962
337	10521	1929
338	10543	1897
339	10563	1864
340	10582	1830
341	10602	1798
342	10623	1765
343	10646	1733
344	10665	1700
345	10687	1668
346	10708	1635
347	10729	1603
348	10746	1570
349	10765	1537
350	10781	1505
351	10799	1472
352	10816	1440
353	10833	1407
354	10850	1375
355	10874	1344
356	10894	1312
357	10914	1280
358	10935	1248
359	10958	1217
360	10978	1186
361	11000	1154
362	11022	1123
363	11042	1092
364	11062	1060
365	11085	1029
366	11109	998
367	11136	968
368	11155	937
369	11180	906
370	11201	875
371	11225	844
372	11247	814
373	11267	783
374	11287	752
375	11305	721
376	11330	691
377	11346	660
378	11371	630
379	11390	599
380	11408	568
381	11425	538
382	11450	508
383	11464	477
384	11477	447
385	11494	416
386	11513	386
387	11532	356
388	11550	326
389	11570	296
390	11591	266
391	11613	237
392	11633	207
393	11649	177
394	11664	147
395	11676	117
396	11685	88
397	11694	58
398	11704	29
399	11715	0
